experiment_name,n_features,stratify_by,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,PearsonR_mean,PearsonR_std,SpearmanR_mean,SpearmanR_std,MAE,RMSE,R2,PearsonR,SpearmanR
combo_2_Gene_Expr+Mutation_Drug_PC,1649,dbgap_rnaseq_sample,31.480,0.982,43.085,1.842,0.513,0.033,0.716,0.023,0.710,0.021,31.480 +/- 0.982,43.085 +/- 1.842,0.513 +/- 0.033,0.716 +/- 0.023,0.710 +/- 0.021
combo_2_Gene_Expr+Mutation_Drug_PC,1649,random,26.321,0.295,36.720,0.309,0.645,0.003,0.803,0.001,0.796,0.003,26.321 +/- 0.295,36.720 +/- 0.309,0.645 +/- 0.003,0.803 +/- 0.001,0.796 +/- 0.003
combo_2_Gene_Expr+Mutation_Drug_Embed,1432,inhibitor,46.915,5.136,60.030,6.150,0.103,0.044,0.314,0.070,0.283,0.074,46.915 +/- 5.136,60.030 +/- 6.150,0.103 +/- 0.044,0.314 +/- 0.070,0.283 +/- 0.074
combo_2_Gene_Expr+Mutation_Drug_Embed,1432,dbgap_rnaseq_sample,31.210,1.213,42.732,1.990,0.521,0.025,0.721,0.017,0.716,0.020,31.210 +/- 1.213,42.732 +/- 1.990,0.521 +/- 0.025,0.721 +/- 0.017,0.716 +/- 0.020
combo_2_Gene_Expr+Mutation_Drug_Embed,1432,random,26.107,0.282,36.500,0.236,0.649,0.002,0.806,0.001,0.799,0.002,26.107 +/- 0.282,36.500 +/- 0.236,0.649 +/- 0.002,0.806 +/- 0.001,0.799 +/- 0.002
combo_2_Gene_Expr+Mutation_Drug_PC+Drug_Embed,1905,inhibitor,47.011,2.006,60.402,2.918,0.086,0.013,0.292,0.022,0.266,0.031,47.011 +/- 2.006,60.402 +/- 2.918,0.086 +/- 0.013,0.292 +/- 0.022,0.266 +/- 0.031
combo_2_Gene_Expr+Mutation_Drug_PC+Drug_Embed,1905,dbgap_rnaseq_sample,31.535,1.505,43.145,2.130,0.513,0.030,0.716,0.021,0.709,0.020,31.535 +/- 1.505,43.145 +/- 2.130,0.513 +/- 0.030,0.716 +/- 0.021,0.709 +/- 0.020
combo_2_Gene_Expr+Mutation_Drug_PC+Drug_Embed,1905,random,26.154,0.250,36.542,0.257,0.649,0.003,0.806,0.002,0.798,0.003,26.154 +/- 0.250,36.542 +/- 0.257,0.649 +/- 0.003,0.806 +/- 0.002,0.798 +/- 0.003
combo_2_Gene_Expr+Pathway_Drug_PC,1374,inhibitor,46.782,4.504,60.094,4.707,0.104,0.037,0.318,0.055,0.291,0.070,46.782 +/- 4.504,60.094 +/- 4.707,0.104 +/- 0.037,0.318 +/- 0.055,0.291 +/- 0.070
combo_2_Gene_Expr+Pathway_Drug_PC,1374,dbgap_rnaseq_sample,31.483,0.670,43.031,0.969,0.515,0.014,0.718,0.010,0.711,0.013,31.483 +/- 0.670,43.031 +/- 0.969,0.515 +/- 0.014,0.718 +/- 0.010,0.711 +/- 0.013
