"feature","p_value","q_value","method","beta","r_squared"
"CASP3_Expr",7.23528277744123e-07,5.20035949628589e-06,"linear_regression",0.0379018507586337,0.150514260411199
"WRN_Expr",6.49298709412648e-07,4.73256453691613e-06,"linear_regression",0.0608690809273347,0.151690816421424
"B2M_Expr",2.33819547880863e-13,6.05008080141732e-12,"linear_regression",-0.112188580636553,0.300058942788986
"HOOK3_Expr",2.85026440321184e-08,2.5431238425209e-07,"linear_regression",-0.0776387569144636,0.185095306558539
"MAP2K1_Expr",2.30337048808342e-13,6.05008080141732e-12,"linear_regression",-0.0689219995831996,0.300196014947226
"MALT1_Expr",1.01586359432931e-11,1.75236470021807e-10,"linear_regression",-0.0557214937285023,0.264788916121723
"MYD88_Expr",6.19799579227379e-15,2.38959836824673e-13,"linear_regression",-0.0799339953744564,0.332482539802806
"POLR2A_Expr",2.25914410850529e-07,1.69435808137897e-06,"linear_regression",0.0780811410052137,0.163097393876796
"IDH2_Expr",7.00883929282655e-08,5.79413364493668e-07,"linear_regression",0.0680520915995347,0.175595087009347
"EXT1_Expr",1.278128823493e-10,1.78765315177737e-09,"linear_regression",-0.0294374092552987,0.240179688738712
"CSF1R_Expr",1.16180337791866e-11,1.90867697800923e-10,"linear_regression",-0.0292965267927714,0.263503252177305
"MAML2_Expr",2.85949768926945e-09,2.98947485696352e-08,"linear_regression",-0.0348616667852305,0.208941992966887
"MED12_Expr",7.05372791557509e-08,5.79413364493668e-07,"linear_regression",0.0735829565275188,0.175527343379614
"AMER1_Expr",8.40707926787044e-11,1.19196260852684e-09,"linear_regression",0.0806275908756185,0.244302852293653
"BCR_Expr",1.0961266548189e-11,1.85982145530749e-10,"linear_regression",0.0605401835395174,0.264060846776091
"SRGAP3_Expr",1.56794478133175e-08,1.44894897203425e-07,"linear_regression",0.0207526587315589,0.191353379130704
"MYO5A_Expr",5.02788340454658e-09,5.03314379936004e-08,"linear_regression",-0.0659308974979779,0.203146801808175
"SIRPA_Expr",7.12612955985907e-11,1.03880902738791e-09,"linear_regression",-0.0417312357147969,0.245924203478968
"MAFB_Expr",7.55217851349206e-30,9.77063095183036e-28,"linear_regression",-0.0272890940170148,0.574937004953152
"DCTN1_Expr",2.71060798425414e-08,2.43954718582873e-07,"linear_regression",0.118915705234042,0.185622977536311
"HLA-A_Expr",3.42819108074006e-07,2.53441269183283e-06,"linear_regression",-0.0636980292218472,0.158606395579788
"LYN_Expr",1.03903941278248e-09,1.16891933938029e-08,"linear_regression",-0.0549009923746391,0.219243041783354
"VCAN_Expr",4.80381177287555e-36,1.65731506164206e-33,"linear_regression",-0.0223020784259706,0.647858780786423
"LGALS2_Expr",5.79100912195435e-38,2.99684722061138e-35,"linear_regression",-0.0256908969246203,0.667809352511978
"MDFI_Expr",8.07971154955907e-10,9.29166828199294e-09,"linear_regression",0.0140432191098619,0.22178357771331
"PRLR_Expr",1.03453417047469e-19,6.69214291525818e-18,"linear_regression",-0.0188705926979685,0.42210619104815
"FN1_Expr",2.33893600032121e-10,3.06430222826892e-09,"linear_regression",-0.0135643903369688,0.234195273278051
"PIEZO2_Expr",1.27836106239097e-08,1.19198531493213e-07,"linear_regression",0.0116098682124118,0.193481854947449
"DPP10_Expr",3.36367364534396e-07,2.50460591577769e-06,"linear_regression",0.0111540717891785,0.158811414121512
"CD300E_Expr",1.10660630799367e-43,1.14533752877345e-40,"linear_regression",-0.0242375715970999,0.720836970671005
"CES1_Expr",2.24584314077757e-11,3.57607330877659e-10,"linear_regression",-0.0141701305391821,0.257159913358337
"AC104809.4_Expr",2.08926424739189e-13,5.8442932325692e-12,"linear_regression",-0.0158303840483086,0.301086566762913
"AUC__DNA_repair",1.3185661645987e-09,1.45182551102091e-08,"linear_regression",3.14394899340206,0.216829698846659
"AUC__Apoptosis",4.48370565427813e-13,1.07921752376229e-11,"linear_regression",-2.67140924053079,0.294087071113681
"AUC__Angiogenesis",4.15240932880563e-09,4.2134741718763e-08,"linear_regression",-0.791238147809936,0.205115537519278
"AUC__KRAS_signaling_up",6.25319540428786e-19,3.59558735746552e-17,"linear_regression",-2.71051873391782,0.4082962028664
"AUC__Myc_targets",1.14415881182735e-08,1.08642602774432e-07,"linear_regression",2.18827907186407,0.194635934096878
"AUC__HMGB1_Signaling",9.69946306819056e-08,7.7222648273671e-07,"linear_regression",-2.10232294001137,0.172141541899097
"AUC__p38_MAPK_Signaling",4.46748766220921e-07,3.27932604991953e-06,"linear_regression",-2.15485597796337,0.155744794736926
"AUC__TNFR1_Signaling",7.03677367917064e-10,8.37133420453059e-09,"linear_regression",-3.47057835763235,0.22317634077347
"AUC__Telomere_Extension_by_Telomerase",5.98720166464372e-09,5.84599407821344e-08,"linear_regression",2.52711259405802,0.20134599538755
"AUC__Phopholipase",9.07981246291068e-14,2.93675184347267e-12,"linear_regression",-1.27421405234848,0.308649489913003
"AUC__SHC1/pSTAT3_Signature",1.16743527766871e-08,1.09845046580647e-07,"linear_regression",-1.23921720362531,0.194426476817905
"AUC__Immunogenic_Cell_Death_(ICD)",2.61637318156806e-21,2.08303557147918e-19,"linear_regression",-1.15286006520296,0.449357318473763
"Hypoxia",4.56573536813393e-10,5.69341699520315e-09,"linear_regression",-1.82521726742289,0.227520902135162
"Apoptosis",4.12291814308137e-18,2.24590540952064e-16,"linear_regression",-2.61720663911235,0.393472705723052
"Notch_signaling",1.60908481835241e-09,1.75305556525763e-08,"linear_regression",-1.49852733681145,0.214807539717712
"PI3K_Akt_mTOR_signaling",3.17990399795611e-15,1.37133359911857e-13,"linear_regression",-6.98825158613309,0.338283975242929
"p53_pathway",1.38648633435252e-12,2.81375167853894e-11,"linear_regression",-2.50849773483368,0.28361742169362
"Angiogenesis",3.21144545972912e-08,2.84089406052961e-07,"linear_regression",-0.630503636765374,0.183840987860631
"KRAS_signaling_up",3.07985537083513e-17,1.44893195855198e-15,"linear_regression",-1.79220426119556,0.377268932619696
"ERK_MAPK_Signaling",2.01235941407869e-07,1.53146470115548e-06,"linear_regression",-3.64607585303621,0.164339596223022
"HMGB1_Signaling",2.09951280637246e-14,7.4137824370486e-13,"linear_regression",-2.56564814533769,0.321749833863441
"ErbB_Signaling",4.23606410483567e-12,8.11912286760169e-11,"linear_regression",-3.42002433073972,0.273115060607392
"PI3K_AKT_Signaling",1.19289547666909e-11,1.9291356536758e-10,"linear_regression",-4.75925953575117,0.26325005503592
"HER_2_Signaling_in_Breast_Cancer",4.8523800751759e-10,5.9788254497703e-09,"linear_regression",-3.07223361963923,0.226910690694892
"mTOR_Signaling",1.14678588341049e-11,1.90867697800923e-10,"linear_regression",-5.64672716642003,0.26362795363389
"p38_MAPK_Signaling",3.94718116883097e-10,5.04362038239513e-09,"linear_regression",-2.93055566293513,0.228978042899365
"VEGF_Signaling",5.09468808337818e-11,7.64203212506726e-10,"linear_regression",-3.43217257558201,0.249205634238295
"TNFR1_Signaling",3.88562788070721e-13,9.70383442429662e-12,"linear_regression",-2.73393062568103,0.295404381493536
"ErbB2_ErbB3_Signaling",1.13777361870989e-14,4.20569891201693e-13,"linear_regression",-4.26891642215747,0.327159628315396
"UVC_Induced_MAPK_Signaling",3.28321261745393e-08,2.87976699920748e-07,"linear_regression",-2.19587512062178,0.18360845119485
"UVA_Induced_MAPK_Signaling",9.54761538659758e-12,1.67971396925283e-10,"linear_regression",-3.78012824394138,0.265382340148409
"ERK5_Signaling",2.33208303404995e-12,4.55416215139942e-11,"linear_regression",-2.81301550813457,0.278745669438519
"Phopholipase",6.26451457939489e-13,1.4735846794713e-11,"linear_regression",-1.29934967471768,0.291000551521719
"SHC1/pSTAT3_Signature",7.63883273682393e-12,1.38705120747593e-10,"linear_regression",-1.02733067256737,0.267512363554244
"Hypoxia/Adenosine_Immune_Cell_Suppression",8.92926922334582e-14,2.93675184347267e-12,"linear_regression",-0.375192823165436,0.308800418745288
"Immunogenic_Cell_Death_(ICD)",1.62371862859294e-33,3.36109756118738e-31,"linear_regression",-0.999683882348562,0.619734003112242
