feature,minmax_variance,rank
TEC_Expr,0.04207266154566245,244
LS_13,0.04182323301222555,245
TP63_Expr,0.04180119974984556,246
ELN_Expr,0.04167800133853162,247
Mismatch_Repair_in_Eukaryotes,0.04166376410085563,248
LS_189,0.04164159954328446,249
ETV1_Expr,0.04161031056935274,250
LS_52,0.041579651358961,251
TFEB_Expr,0.04148278114211882,252
H3F3B_Expr,0.041477586217278435,253
HBB_Expr,0.041466620712107445,254
THRAP3_Expr,0.04134705173197701,255
CA1_Expr,0.04134266368326274,256
