feature,feature_value,shap_value,sample_idx,true_label,pred_val,base_value
LS_21,0.5872330104926562,-2.2353439331054688,11511,254.031908100948,254.03027,197.29434204101562
AC004791.2_Expr,-0.8664091484451654,-2.2310218811035156,11511,254.031908100948,254.03027,197.29434204101562
PXDN_Expr,-0.5214770792458425,-2.1710586547851562,11511,254.031908100948,254.03027,197.29434204101562
CD177_Expr,2.218390700043359,-2.138824462890625,11511,254.031908100948,254.03027,197.29434204101562
BEX1_Expr,-0.27246715496505486,2.0599327087402344,11511,254.031908100948,254.03027,197.29434204101562
DSG2_Expr,-0.35083190479040083,2.0118179321289062,11511,254.031908100948,254.03027,197.29434204101562
LS_58,0.8862931279794523,-2.009571075439453,11511,254.031908100948,254.03027,197.29434204101562
CEACAM6_Expr,0.4844353170092025,1.93902587890625,11511,254.031908100948,254.03027,197.29434204101562
ARHGEF10L_Expr,1.157423374352012,1.8612403869628906,11511,254.031908100948,254.03027,197.29434204101562
AKT3_Expr,0.25776240735403616,1.8475532531738281,11511,254.031908100948,254.03027,197.29434204101562
PIEZO2_Expr,-1.1204337503369313,1.8165168762207031,11511,254.031908100948,254.03027,197.29434204101562
DDIT4L_Expr,0.826074293958864,-1.8080635070800781,11511,254.031908100948,254.03027,197.29434204101562
GPHN_Expr,-1.500813236729094,-1.7943801879882812,11511,254.031908100948,254.03027,197.29434204101562
LS_30,1.5072045634799225,-1.7937812805175781,11511,254.031908100948,254.03027,197.29434204101562
LGALS2_Expr,1.1511293844460653,-1.7682456970214844,11511,254.031908100948,254.03027,197.29434204101562
CDC42BPA_Expr,0.11562876425799369,-1.7660408020019531,11511,254.031908100948,254.03027,197.29434204101562
HOXB8_Expr,-0.8367696175597218,-1.6967926025390625,11511,254.031908100948,254.03027,197.29434204101562
GTSF1_Expr,0.943387091144172,1.6898956298828125,11511,254.031908100948,254.03027,197.29434204101562
NRG1_Expr,0.8306309598485986,1.6491546630859375,11511,254.031908100948,254.03027,197.29434204101562
MDFI_Expr,-1.749545825728528,-1.6348915100097656,11511,254.031908100948,254.03027,197.29434204101562
ZMYM3_Expr,-0.6345940736201677,1.6343269348144531,11511,254.031908100948,254.03027,197.29434204101562
HOXA11_Expr,1.273359501897376,-1.6250991821289062,11511,254.031908100948,254.03027,197.29434204101562
LS_8,0.30651417139340686,1.6244163513183594,11511,254.031908100948,254.03027,197.29434204101562
DEFA1B_Expr,0.8063948247673568,1.60943603515625,11511,254.031908100948,254.03027,197.29434204101562
LS_61,0.3164618649820368,-1.60455322265625,11511,254.031908100948,254.03027,197.29434204101562
PLEKHG4B_Expr,-0.0076287662028378025,1.5990486145019531,11511,254.031908100948,254.03027,197.29434204101562
HOXA6_Expr,0.6067312768169202,1.5757102966308594,11511,254.031908100948,254.03027,197.29434204101562
TXLNG2P_Expr,-1.2255728708266846,-1.5739669799804688,11511,254.031908100948,254.03027,197.29434204101562
TRH_Expr,-1.453648650896937,1.554168701171875,11511,254.031908100948,254.03027,197.29434204101562
USP9Y_Expr,-0.8765427914989254,-1.5530586242675781,11511,254.031908100948,254.03027,197.29434204101562
GPC6_Expr,0.2528081642376801,1.5406761169433594,11511,254.031908100948,254.03027,197.29434204101562
DAXX_Expr,-0.1063092566779422,-1.5322151184082031,11511,254.031908100948,254.03027,197.29434204101562
Progenitor-like,-2.6062028168366043,1.518310546875,11511,254.031908100948,254.03027,197.29434204101562
HPGDS_Expr,-1.0616172529207848,1.5166778564453125,11511,254.031908100948,254.03027,197.29434204101562
GPC4_Expr,0.28850394344876384,1.5147171020507812,11511,254.031908100948,254.03027,197.29434204101562
MYCL_Expr,0.8930999754197682,-1.4608154296875,11511,254.031908100948,254.03027,197.29434204101562
MLLT3_Expr,0.15534118385596168,-1.4603042602539062,11511,254.031908100948,254.03027,197.29434204101562
CD34_Expr,-1.6883927531791743,-1.4603004455566406,11511,254.031908100948,254.03027,197.29434204101562
RP11-388P9.2_Expr,-0.9760086894089367,-1.4534111022949219,11511,254.031908100948,254.03027,197.29434204101562
LS_125,-0.7869249872821542,1.4501266479492188,11511,254.031908100948,254.03027,197.29434204101562
Immunogenic_Cell_Death_(ICD),1.2343658573760863,-1.4449996948242188,11511,254.031908100948,254.03027,197.29434204101562
SBDS_Expr,-0.7506692359541781,1.4245719909667969,11511,254.031908100948,254.03027,197.29434204101562
MUC4_Expr,-0.20494078597904933,1.3269805908203125,11511,254.031908100948,254.03027,197.29434204101562
M16,2.100527603730759,1.3264884948730469,11511,254.031908100948,254.03027,197.29434204101562
HOXA9_Expr,0.27604538317085636,-1.3233871459960938,11511,254.031908100948,254.03027,197.29434204101562
PPARG_Expr,2.2223490867543787,-1.3105430603027344,11511,254.031908100948,254.03027,197.29434204101562
FGFR1_Expr,-0.09319887079641721,-1.2947807312011719,11511,254.031908100948,254.03027,197.29434204101562
IRX3_Expr,-0.6368091497848464,-1.2643508911132812,11511,254.031908100948,254.03027,197.29434204101562
LS_94,0.8114924780137469,1.2535285949707031,11511,254.031908100948,254.03027,197.29434204101562
DLK1_Expr,-0.7582760782517347,1.2495803833007812,11511,254.031908100948,254.03027,197.29434204101562
CXCL12_Expr,0.4380095885327969,1.23748779296875,11511,254.031908100948,254.03027,197.29434204101562
SCN9A_Expr,-0.1980233958625063,-1.2320976257324219,11511,254.031908100948,254.03027,197.29434204101562
M12,-1.8745002933251365,-1.2064933776855469,11511,254.031908100948,254.03027,197.29434204101562
MSLN_Expr,0.2655467201808658,1.1964111328125,11511,254.031908100948,254.03027,197.29434204101562
LS_151,-0.11355106650359936,-1.1960372924804688,11511,254.031908100948,254.03027,197.29434204101562
VCAN_Expr,1.6457674610259667,1.1876754760742188,11511,254.031908100948,254.03027,197.29434204101562
CASC10_Expr,0.28407962942997766,-1.1430511474609375,11511,254.031908100948,254.03027,197.29434204101562
HOXA11-AS_Expr,0.9245454034072202,-1.1238479614257812,11511,254.031908100948,254.03027,197.29434204101562
HOXB3_Expr,-1.3614162303113027,-1.1237602233886719,11511,254.031908100948,254.03027,197.29434204101562
AC091814.2_Expr,1.3073577903449205,-1.107177734375,11511,254.031908100948,254.03027,197.29434204101562
AC104809.4_Expr,1.2795609358521527,-1.0805015563964844,11511,254.031908100948,254.03027,197.29434204101562
LS_233,0.9937356137534159,1.0675048828125,11511,254.031908100948,254.03027,197.29434204101562
HOXB6_Expr,-1.322066632505379,1.062225341796875,11511,254.031908100948,254.03027,197.29434204101562
PRLR_Expr,0.4046240721746061,-1.0544395446777344,11511,254.031908100948,254.03027,197.29434204101562
