drug,n,mean_pred,median_pred,std_pred,lognorm_mu,lognorm_sigma,sw_stat,sw_pval,dp_stat,dp_pval,ks_stat,ks_pval,is_lognormal
PRT062607,156,197.8438,198.1233,15.7687,5.2843,0.0804,0.9893,0.2844,2.6212,0.2697,0.0400,0.9560,True
Palbociclib,156,241.5164,245.5053,17.3694,5.4843,0.0743,0.9012,0.0000,17.2437,0.0002,0.1407,0.0037,False
Panobinostat,150,106.4276,91.9335,40.8458,4.6010,0.3573,0.9111,0.0000,40.3736,0.0000,0.1337,0.0085,False
Pazopanib (GW786034),156,216.5133,215.9322,15.8090,5.3750,0.0737,0.9839,0.0673,3.0367,0.2191,0.0476,0.8547,True
Pelitinib (EKB-569),157,158.8721,159.4028,19.4015,5.0603,0.1266,0.9697,0.0016,12.4711,0.0020,0.0988,0.0873,False
Perhexiline maleate,37,215.5350,216.8312,8.8783,5.3723,0.0415,0.9681,0.3592,1.0649,0.5872,0.1158,0.6614,True
Quizartinib (AC220),159,143.2989,142.3282,21.9024,4.9529,0.1576,0.9807,0.0256,5.2655,0.0719,0.0555,0.6906,False
RAF265 (CHIR-265),160,166.0181,165.0811,15.1589,5.1079,0.0915,0.9912,0.4313,0.7171,0.6987,0.0458,0.8745,True
Ralimetinib (LY2228820),42,204.2511,206.1788,8.8725,5.3184,0.0440,0.9598,0.1454,2.6650,0.2638,0.1174,0.5691,True
Ranolazine,45,215.6096,217.5085,11.7742,5.3720,0.0551,0.9713,0.3230,1.2179,0.5439,0.1188,0.5110,True
Rapamycin,153,177.4544,176.3019,29.6107,5.1643,0.1723,0.9455,0.0000,30.8298,0.0000,0.0989,0.0934,False
Regorafenib (BAY 73-4506),158,188.2231,187.8209,16.0784,5.2340,0.0860,0.9911,0.4283,1.3045,0.5209,0.0285,0.9992,True
Roscovitine (CYC-202),162,263.1693,264.1116,7.9174,5.5723,0.0306,0.9301,0.0000,29.2204,0.0000,0.0828,0.2054,False
Ruxolitinib (INCB018424),153,232.3846,232.0630,8.0643,5.4478,0.0348,0.9918,0.5286,2.0557,0.3578,0.0522,0.7783,True
S31-201,114,230.9661,231.2480,8.4586,5.4416,0.0370,0.9729,0.0205,10.9004,0.0043,0.0684,0.6352,False
SB-431542,161,251.1157,251.2448,6.9567,5.5255,0.0282,0.9286,0.0000,49.7622,0.0000,0.0935,0.1126,False
SGX-523,159,255.9943,255.3048,6.4990,5.5448,0.0255,0.9874,0.1648,4.0918,0.1293,0.0649,0.4940,True
SNS-032 (BMS-387032),160,100.5864,96.1282,16.1819,4.5989,0.1543,0.9627,0.0003,9.0824,0.0107,0.1025,0.0645,False
SR9011,156,255.1166,257.6805,11.9786,5.5406,0.0478,0.9237,0.0000,13.2799,0.0013,0.1333,0.0071,False
STO609,116,262.3362,262.8515,5.2827,5.5694,0.0204,0.9317,0.0000,26.1831,0.0000,0.1010,0.1749,False
SU11274,113,220.1810,220.2225,11.7342,5.3930,0.0533,0.9891,0.5034,3.1818,0.2037,0.0652,0.6975,True
Saracatinib (AZD0530),159,219.9150,220.7513,14.6802,5.3910,0.0674,0.9806,0.0245,5.7337,0.0569,0.0639,0.5143,False
Selinexor,157,122.2007,120.3372,11.1429,4.8016,0.0897,0.9739,0.0045,7.8217,0.0200,0.0836,0.2106,False
Selumetinib (AZD6244),160,206.5303,205.3532,35.2768,5.3154,0.1757,0.9361,0.0000,64.8161,0.0000,0.1021,0.0664,False
Sorafenib,171,187.7618,190.3803,25.3777,5.2254,0.1432,0.9433,0.0000,19.0984,0.0001,0.0959,0.0807,False
Sunitinib,171,195.8534,196.7500,20.2675,5.2719,0.1058,0.9800,0.0143,5.8510,0.0536,0.0633,0.4812,False
TG100-115,158,246.6259,246.9665,6.6271,5.5075,0.0270,0.9850,0.0846,3.2353,0.1984,0.0822,0.2237,True
