feature,embed_corr_train,embed_corr_test
LS_177,0.08773379362416966,0.08544430432793267
LS_58,0.05773106184873702,0.08473111983796737
LS_209,0.05886067493163402,0.08426272298091597
LS_0,0.04045491112544297,0.08382328252361379
LS_11,0.05682542191710066,0.08280574551833976
LS_125,0.061163712175888306,0.08205797169897525
AUC__Apoptosis,0.03459371727817082,0.08197777915347272
AUC__p53_pathway,0.03235263423067531,0.08181078281390693
M14,0.03635981843712187,0.08177087353176879
LS_94,0.10174549059914036,0.0817389589890569
LS_201,0.0554938969676842,0.08153969289262772
LS_166,0.03141995031608672,0.08087627304195757
FGD5_Expr,0.05960617448030746,0.08015863913921843
AUC__ErbB_Signaling,0.10650442358477738,0.0791457633196399
LS_88,0.08288685026846593,0.07866890677288031
LS_197,0.05841391925474311,0.0785916793087445
LS_102,0.06517595585041903,0.07814679357165177
LS_168,0.04470974285388653,0.07791480155750569
LS_188,0.046386323126972905,0.07748829577197017
LS_172,0.06726565072620906,0.07618382541225198
LS_92,0.04810972460078185,0.07596453048386471
LS_251,0.07006574894659831,0.07572907120559
LS_97,0.08129126319113958,0.07523546318029847
CEACAM6_Expr,0.02950974064434024,0.07458541550388763
TAL1_Expr,0.04448662303759334,0.07383909755033799
LS_127,0.03375286129238575,0.07310323080922132
Angiogenesis,0.053164264715689316,0.07303825546111864
LS_40,0.056812447271929814,0.07282931183267281
LS_249,0.06741947117467055,0.07248409826851833
LS_136,0.041363529933593435,0.0724762925334557
AUC__Hedgehog_signaling,0.06571916104176305,0.07203265034259744
LS_179,0.012481421236246387,0.07190783165720774
LS_147,0.058904561301971185,0.07120644253801468
AUC__G2M_checkpoint,0.05906741384880302,0.07112534686316005
AUC__Mitotic_spindle,0.05345881488200101,0.07047441562891567
CEACAM8_Expr,0.01890119041183552,0.07013846408243751
AUC__Reactive_oxigen_species_pathway,0.041895484172739486,0.0698099297736052
AUC__E2F_targets,0.058901668921727816,0.06907496851664115
FUS_Expr,0.053370269975036945,0.06890186109020119
LS_240,0.04522021625205505,0.06888499549610201
LZTR1_Expr,0.04063033650895008,0.06874721703416568
LS_248,0.05142469288947672,0.06864095370645971
LS_204,0.042314704001234674,0.06860410390176458
LS_116,0.05035629532587951,0.06847591811933013
LS_80,0.05371609591731754,0.06819388706849086
LS_62,0.07441790149692037,0.06806238709784007
LS_212,0.044903456591249676,0.06800516834255074
LTF_Expr,0.02334368825884734,0.06775318582038663
p38_MAPK_Signaling,0.020777502299861767,0.0675551032781204
LS_6,0.0661015252238103,0.0675107370774398
IGKV2-23_Expr,0.05967426776403183,0.06595397349040573
HMGA2_Expr,0.05631100637544833,0.06496707080521844
LS_66,0.05172582055783605,0.06479418364318242
FSTL3_Expr,0.058825678136517595,0.06460382408933073
LS_186,0.04884775750953599,0.06450731384023697
LS_4,0.05206940774315709,0.06399422447379954
M3,0.03926381703431589,0.06394252695918196
CDC42BPA_Expr,0.08172642926290995,0.06365240783305155
LS_213,0.04801320492795796,0.06350763869825772
LS_104,0.061174240477535155,0.06350040402339509
PBRM1_Expr,0.021839688664548326,0.06343022537674199
DLK1_Expr,0.04187833159566468,0.06326949249454715
RAD17_Expr,0.03040857151218933,0.0630300695320357
M11,0.04566860109455447,0.0628932983322
LS_255,0.04224966890986102,0.06272732218389916
LS_1,0.050252929769824824,0.06266529541559301
MMP8_Expr,0.003920250713049707,0.06260674654390665
N4BP2_Expr,0.052501547982027615,0.062458160671135826
Reactive_oxigen_species_pathway,0.042209194162066185,0.06223556701349527
CYYR1_Expr,0.05223661003643959,0.06202209423908996
CYP2C8_Expr,0.0602049671684697,0.0619720929282146
LCN2_Expr,0.0012312610106990987,0.06140878806589401
LS_137,0.038795366053757885,0.061393598336730214
LS_78,0.042083902290801146,0.06137924051557819
M9,0.062329910286323835,0.06136306106805768
KRAS_signaling_up,0.023912786699379483,0.061071904853244485
STAT3_Expr,0.038615772068189114,0.06104517544915631
Phopholipase,0.04496815226731293,0.06099540505050456
CANT1_Expr,0.08251809374575361,0.06083674727781253
AUC__ErbB2_ErbB3_Signaling,0.09500621220042928,0.060610795412847876
CRISP3_Expr,0.010576966814057582,0.060496652737065316
CHD7_Mut,0.018643539665592762,0.06048053722844654
CDX2_Expr,0.029880425268675202,0.0594230023349116
LYN_Expr,0.05920575262675541,0.05931472025383703
LS_64,0.03764139971088077,0.05929974109831336
MLLT3_Expr,0.03617741630510942,0.05899137031343107
TCF3_Expr,0.042959809234406905,0.05890885065845598
ATR_Expr,0.07666085900819547,0.05890525243997148
UV_response_down,0.06703225795793501,0.058486443899581485
LS_196,0.061458120960820754,0.058435232662396065
M6,0.04379603683986082,0.05836948696779413
ERK_MAPK_Signaling,0.05129400362051331,0.058084463158376815
SFPQ_Expr,0.07724846308682437,0.05789386902342389
CSPG4_Expr,0.0016710149959284497,0.057859805522549525
M0,0.03871295970869966,0.057681884974848274
PLAG1_Expr,0.08029442261050737,0.05753889841383356
MALAT1_Expr,0.07442230801322261,0.0575161576984718
LS_122,0.05100336059904593,0.05728862698493736
LS_101,0.022021854085098446,0.05714441746616097
LS_224,0.03270283499601685,0.05710071560244615
