feature,shap_mean_abs_train,shap_mean_abs_test
SLITRK4_Expr,1.715428352355957,1.9095490646362305
M12,0.7594757080078125,1.9060113906860352
POU4F1_Expr,0.7538148880004882,1.902540111541748
CD34_Expr,1.133139419555664,1.8969492721557617
GTSF1_Expr,1.2820146560668946,1.8916813659667968
AC091814.2_Expr,1.360755729675293,1.8900385665893555
CES1_Expr,1.44149169921875,1.8834867286682129
KDM5D_Expr,1.052260398864746,1.8824978256225586
M3,0.7971639633178711,1.8810283851623535
ARPP21_Expr,1.5727134704589845,1.8777940559387207
RP11-704M14.1_Expr,1.681300735473633,1.8770435905456544
GPC6_Expr,1.2464139938354493,1.8700919342041016
PPARG_Expr,0.7032119750976562,1.8662512969970704
NPTX2_Expr,1.2690208435058594,1.8655392265319823
MYO18B_Expr,1.786851692199707,1.8569524002075195
MECOM_Expr,1.0219196319580077,1.8565803527832032
JAZF1_Expr,1.0988061904907227,1.8564053344726563
RP11-497G19.2_Expr,1.135284423828125,1.853794403076172
LINC00982_Expr,1.4265960693359374,1.8520061492919921
UTY_Expr,1.0776920318603516,1.8463350677490233
CHRDL1_Expr,1.1508081436157227,1.8364316940307617
M23,1.2686422348022461,1.8283837127685547
ZFP57_Expr,1.641983413696289,1.827629928588867
KIAA1456_Expr,1.0761646270751952,1.8271880149841309
MYCN_Expr,1.5038612365722657,1.8241739654541016
RP11-497G19.1_Expr,1.179909610748291,1.815426139831543
SEPT6_Expr,0.9906660079956054,1.8148846435546875
LAMP5_Expr,1.0824459075927735,1.8137284851074218
HOXA3_Expr,1.2135854721069337,1.7976517868041992
FGD5_Expr,1.127554702758789,1.7963263702392578
RP11-424G14.1_Expr,0.9121376037597656,1.7928385162353515
PROM1_Expr,0.8925851821899414,1.7926610565185548
ZFY_Expr,0.9496099472045898,1.7867864608764648
M11,1.1956207275390625,1.7867386054992676
MDFI_Expr,1.301655387878418,1.7848859214782715
RP11-129J12.2_Expr,1.1244970321655274,1.7709589958190919
CXCL12_Expr,1.4025084495544433,1.7692858123779296
CD177_Expr,1.3031476974487304,1.755331687927246
M6,1.566683578491211,1.7456274795532227
CDH4_Expr,1.0998741149902345,1.740306625366211
SRSF2_Mut,1.1480573654174804,1.730485610961914
ADCY2_Expr,1.7739294052124024,1.7297978019714355
HOXA9_Expr,1.1638496398925782,1.7170624732971191
ADAMTS2_Expr,1.0781309127807617,1.7095688819885253
DAXX_Expr,1.131452751159668,1.7042061042785646
HOXB6_Expr,1.2926622390747071,1.6970909500122071
PAX8-AS1_Expr,1.0289529800415038,1.6894275283813476
HOXB-AS3_Expr,1.1910640716552734,1.6739574813842772
ST18_Expr,1.1092189788818358,1.6626600456237792
S100A16_Expr,1.4562200546264648,1.649735164642334
LPHN3_Expr,1.4002376556396485,1.6339134407043456
MSLN_Expr,0.7708169937133789,1.6301637649536134
HOXB9_Expr,1.167505645751953,1.5741705894470215
MEIS1_Expr,1.0228704452514648,1.5655997848510743
IDH1_Mut,1.0190533638000487,1.4388574981689453
TXLNG2P_Expr,1.329136848449707,1.3654701232910156
