feature,shap_score,embedding_score,shap_norm,embedding_norm,combined_score
LAMB2_Expr,2.0969872283935547,0.0053952668308293,0.21047732159692928,0.027058764648009236,0.11876804312246926
GSTM1_Expr,1.9176584053039551,0.0156446280977773,0.1588795529244692,0.07847617506412294,0.11867786399429607
USP9Y_Expr,2.0680166816711427,0.0069271511403148,0.2021417091597092,0.03474368492736585,0.11844269704353752
NRG1_Expr,1.9432916641235352,0.0135044645440656,0.16625493707135092,0.06773973355008793,0.11699733531071943
M4,2.002220001220703,0.0101022643909617,0.18321021873442875,0.05067210201347429,0.11694116037395152
TTTY15_Expr,2.074060115814209,0.0059524625696641,0.20388056915738723,0.029854018053523133,0.11686729360545518
EREG_Expr,2.0624271392822267,0.0063574125977625,0.20053344613651353,0.03188550872405858,0.11620947743028605
SPAG6_Expr,2.1704259872436524,1.470214657168491e-06,0.23160764535334327,0.0,0.11580382267667164
PRKY_Expr,2.0141775131225588,0.0083655928779815,0.18665071938781158,0.041959836964447876,0.11430527817612973
PRAME_Expr,2.005591449737549,0.0081224305839937,0.18418027596040187,0.04073997797596504,0.11246012696818346
CXCL12_Expr,1.7692858123779296,0.0208257365277581,0.11618873169878662,0.10446795851445262,0.11032834510661962
M23,1.8283837127685547,0.0173619587622984,0.13319280132266414,0.08709141393589628,0.11014210762928021
DPP10_Expr,1.9543957901000977,0.0087092181692846,0.16944989543653385,0.043683683180042274,0.10656678930828806
HOXA3_Expr,1.7976517868041992,0.017418253052485,0.12435039228072385,0.08737382242431034,0.1058621073525171
XIST_Expr,1.9843591690063476,0.0057913298665564,0.17807117263455288,0.029045672429697397,0.10355842253212513
PRSS21_Expr,2.023763656616211,0.0033474616843443,0.1894089130006662,0.01678565250700237,0.10309728275383429
EIF1AY_Expr,2.0519691848754884,0.0014992962674217,0.19752440886649025,0.007514062084560943,0.10251923547552559
PIEZO2_Expr,1.9498711013793946,0.0068284879182649,0.16814801970956786,0.0342487265344487,0.10119837312200827
LAMP5_Expr,1.8137284851074218,0.0146269296222983,0.12897609464008272,0.07337074275174052,0.10117341869591162
DDX3Y_Expr,1.9483208274841308,0.0061482630519317,0.16770196384164526,0.03083627963004614,0.0992691217358457
GTSF1_Expr,1.8916813659667968,0.0093283793682687,0.15140525379384703,0.046789795322323934,0.09909752455808549
MYO18B_Expr,1.8569524002075195,0.0106454370461638,0.14141278793917705,0.05339700658185945,0.09740489726051825
AC104809.4_Expr,2.0329917907714843,0.0004071880124705,0.19206409761192259,0.002035342298896423,0.09704971995540951
HOXB5_Expr,1.9144627380371093,0.0068737942483009,0.15796007273412369,0.03447601232380039,0.09621804252896204
PRDM16_Expr,1.9800386428833008,0.0022757059451497,0.17682804002709188,0.011409034074622388,0.09411853705085713
CES1_Expr,1.8834867286682129,0.0077913612407252,0.1490474342732461,0.03907912049854112,0.09406327738589361
ADCY2_Expr,1.7297978019714355,0.0165036982731604,0.10482695955760679,0.08278582545437294,0.09380639250598986
HOXA9_Expr,1.7170624732971191,0.0171381998247569,0.10116265991193966,0.08596889470506908,0.09356577730850438
PRLR_Expr,1.9924747848510742,0.0010324781604888,0.18040625553855172,0.005172201204776624,0.09278922837166417
