Metadata	Feature_Name
Patient	GOLPH3
Patient	SUB1
Patient	LIFR
Patient	PDGFRB
Patient	BCL6
Patient	TFG
Patient	CBLB
Patient	FOXP1
Patient	ACVR1
Patient	SF3B1_x
Patient	BIRC6
Patient	STRN
Patient	EPAS1
Patient	NFE2L2
Patient	MSH6
Patient	BCL9
Patient	RPL22
Patient	SFPQ
Patient	PRDM2
Patient	MYCL
Patient	AKT3
Patient	SDHB
Patient	ID3
Patient	MPL_x
Patient	ARID1A
Patient	STAG1_x
Patient	STK11
Patient	KMT2A
Patient	CREB1
Patient	TNFAIP3
Patient	MYB_x
Patient	SGK1
Patient	FOXO3
Patient	CCND2
Patient	SET
Patient	CNTRL
Patient	PPP6C
Patient	NR4A3
Patient	CSF3R_x
Patient	KDSR
Patient	DNMT3A_x
Patient	BCL11A
Patient	CD274
Patient	KCNJ5
Patient	SPOP
Patient	CEP89
Patient	ZMYM2
Patient	PIK3CA
Patient	CXCR4
Patient	ACVR2A
Patient	FLT3_x
Patient	RPL5
Patient	PMS2
Patient	HNRNPA2B1
Patient	FKBP9
Patient	KIAA1549_x
Patient	TRIM24
Patient	CDKN2C
Patient	ATF1
Patient	STIL
Patient	ACSL3
Patient	SDC4
Patient	PLCG1
Patient	USP9X_x
Patient	HIST1H3B
Patient	CDKN1A
Patient	DEK
Patient	SEPT6
Patient	PAX8
Patient	MAX
Patient	KDM5C_x
Patient	CCR7
Patient	BCL2L12
Patient	SBDS
Patient	ZNF384
Patient	KTN1
Patient	NUP214
Patient	MAP2K2
Patient	BCL11B
Patient	PTPRB
Patient	SMARCA4
Patient	AKAP9
Patient	HIP1
Patient	KDR
Patient	DGCR8
Patient	SPECC1
Patient	POT1
Patient	SMO
Patient	KNSTRN
Patient	USP6
Patient	FOXA1
Patient	CBFA2T3
Patient	MLLT1
Patient	MNX1
Patient	CLIP1
Patient	ZNF331
Patient	LATS1
Patient	TRAF7
Patient	RARA
Patient	DNAJB1
Patient	RAF1
Patient	PPARG
Patient	H3F3B
Patient	MUTYH
Patient	CASP9
Patient	MYH11
Patient	BTG1
Patient	KRAS_x
Patient	MEN1
Patient	VHL
Patient	NOTCH2
Patient	MYCN
Patient	IL6ST
Patient	CDC73
Patient	DDB2
Patient	PDGFRA
Patient	ERCC5
Patient	APC
Patient	TBX3
Patient	LMO2
Patient	CDK4
Patient	ACVR1B
Patient	TEC
Patient	MDM2
Patient	TMEM127
Patient	USP44
Patient	LCP1
Patient	RAC1
Patient	BRIP1
Patient	KAT7
Patient	ABI1
Patient	KLF4
Patient	XPA
Patient	MYC_x
Patient	PIM1
Patient	IRF4
Patient	HMGA1
Patient	NUMA1
Patient	FBXO11
Patient	CYP2C8
Patient	NCOA4
Patient	TET1_x
Patient	ATIC
Patient	BARD1
Patient	IDH1_x
Patient	ITGAV
Patient	USP8
Patient	RAP1GDS1
Patient	LEF1
Patient	ETV6_x
Patient	ETNK1
Patient	COL2A1
Patient	BRCA2
Patient	RB1
Patient	SETD1B
Patient	TCF12
Patient	NCOA2
Patient	PML
Patient	POLG
Patient	NTRK3_x
Patient	CRTC3
Patient	ZFHX3
Patient	CDH11
Patient	NCOR1
Patient	CLTC
Patient	SS18
Patient	SMAD4
Patient	ERBB2
Patient	BRD4
Patient	VAV1
Patient	SH3GL1
Patient	AKT1
Patient	PRDM16
Patient	BCL10
Patient	SDHC
Patient	PRCC
Patient	ABL2
Patient	SETDB1
Patient	ARNT
Patient	TPM3
Patient	EML4
Patient	ASXL2
Patient	AFF3
Patient	ACKR3
Patient	FANCD2
Patient	LPP
Patient	MUC4
Patient	FIP1L1
Patient	PIK3R1
Patient	ARHGAP26
Patient	NFKBIE
Patient	EGFR
Patient	KDM6A
Patient	MSN
Patient	ZMYM3
Patient	NONO
Patient	GPC3
Patient	RPL10
Patient	RSPO2
Patient	NFIB
Patient	CDKN2A
Patient	NOTCH1
Patient	ZEB1
Patient	TCF7L2
Patient	ATM
Patient	HMGA2
Patient	LATS2
Patient	FOXO1
Patient	EXT2
Patient	VTI1A
Patient	FLI1
Patient	CYSLTR2
Patient	SETBP1_x
Patient	PTPRK
Patient	RAD17
Patient	RGPD3
Patient	RANBP2
Patient	PTPRD
Patient	JAZF1
Patient	MSI2
Patient	XPC
Patient	FLCN
Patient	GNAQ
Patient	PHF6_x
Patient	KAT6B_x
Patient	BUB1B
Patient	EIF4A2
Patient	NRG1
Patient	CACNA1D_x
Patient	KIT_x
Patient	ERG
Patient	CREB3L1
Patient	BRAF_x
Patient	TNFRSF14
Patient	SKI
Patient	FANCC
Patient	ELK4
Patient	SLC45A3
Patient	BTG2
Patient	FAM131B
Patient	ARHGAP35
Patient	U2AF1_x
Patient	RALGDS
Patient	LMNA
Patient	FGFR4
Patient	RECQL4
Patient	IKZF3
Patient	SRSF2_x
Patient	TAL1
Patient	JAK1
Patient	FUBP1
Patient	DDR2
Patient	RBM15
Patient	REL
Patient	H3F3A
Patient	ERCC3
Patient	ATP1A1
Patient	ELF3
Patient	TGFBR2
Patient	FBLN2_x
Patient	PTPN13
Patient	GMPS
Patient	RPN1
Patient	BAP1
Patient	PBRM1
Patient	CASP3
Patient	EBF1
Patient	TERT
Patient	ACSL6
Patient	HEY1
Patient	RAD21_x
Patient	COX6C
Patient	PSIP1
Patient	SYK
Patient	WNK2
Patient	FAT3
Patient	WRN
Patient	TSHR
Patient	CDX2
Patient	NSD1
Patient	TSC1
Patient	RET
Patient	PRKCB
Patient	B2M
Patient	NAB2
Patient	STAT6
Patient	SMAD3
Patient	CDK12
Patient	TPM4
Patient	KMT2D_x
Patient	SDHAF2
Patient	CTNNB1
Patient	FADD
Patient	PAFAH1B2
Patient	HOOK3
Patient	RFWD3
Patient	RHOH
Patient	FEN1
Patient	COL3A1
Patient	STAT3
Patient	AXIN2
Patient	IL7R
Patient	LRP1B
Patient	TET2_x
Patient	MAP2K1
Patient	AR
Patient	MN1
Patient	ZRSR2_x
Patient	PCBP1
Patient	ASPSCR1
Patient	CNBP
Patient	BRD3
Patient	PWWP2A
Patient	MGMT
Patient	KIF5B
Patient	CHCHD7
Patient	PPM1D
Patient	CANT1
Patient	CHST11
Patient	GPHN
Patient	CAMTA1
Patient	BCL2
Patient	MLLT3
Patient	PTEN
Patient	MALT1
Patient	CLP1
Patient	AFF1
Patient	TAF15
Patient	NBEA
Patient	MYD88
Patient	CHD2_x
Patient	EIF1AX
Patient	STAT5B
Patient	RNF213
Patient	CNTNAP2
Patient	HRAS
Patient	ATR
Patient	DDIT3
Patient	SMAD2
Patient	ERCC4
Patient	RMI2
Patient	ETV4
Patient	POLE
Patient	TBL1XR1_x
Patient	JUN
Patient	MLF1
Patient	PDE4DIP
Patient	DDX10
Patient	CD28
Patient	MAF
Patient	SUZ12_x
Patient	PER1
Patient	CALR_x
Patient	PTPN11_x
Patient	GATA2_x
Patient	HMGN2P46
Patient	GPC5
Patient	CIITA
Patient	APOBEC3B
Patient	MB21D2
Patient	PRF1
Patient	MUC16
Patient	POLR2A
