CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
3501,378.4,CN1C2=CC=CC=C2C3=C4C(=C5C6=CC=CC=C6N(C5=C31)CCC#N)CNC4=O,VWVYILCFSYNJHF-UHFFFAOYSA-N,3.2,Go6976,"ABCC2;APP;ATF2;AURKA;AURKB;BACE1;BLK;BTG2;CCNB1;CDC25C;CDK1;CDK2;CDK5;CHEK1;CHEK2;CHRNA5;CRH;CSF1R;CYP11A1;DYRK1A;EGFR;ELAVL1;ERBB2;FGFR1;FLT1;FLT3;FLT4;GAP43;GRP;GSK3A, GSK3B;HMOX1;HRAS;HSD3B1;IL1A;IL1B;IL2;IL6;INSR;IRAK4;ITK;JAK3;JUN;KDR;LCK;LIMK1;LYN;MAPK1;MAPK3;MAPK8;MAPK9;MARK2;MARK3;MMP9;NCF1;NFKB;NTS;PAK4;PARP1;PDPK1;PIM1;PLD1;PLD2, PLK1;PLK2;PLK3;PLK4;PRKACA;PRKCA;PRKCB;PRKCD;PRKCG;PRKCZ;PRKD1;PRKD2;PSEN1;PTGS2;RELA;ROCK1;ROCK2;RPS6KA3;RPS6KB1;SIRT1;SOD2;SRC;STS;TFF1;TNF;TNFRSF10B;TYK2;ULBP1; VCAM1;VDR;VEGFA"
3541,446.4,C1=CC2=C(C=CN=C2)C(=C1)S(=O)(=O)NCCNCC=CC3=CC=C(C=C3)Br,ZKZXNDJNWUTGDK-UHFFFAOYSA-N,3.5,H-89,PRKACA;PKIA;GSG2;EIF2AK2
45375953,309.33,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,GYLDXIAOMVERTK-UHFFFAOYSA-N,1.7,INK-128,EIF4EBP1;RPS6KB1;EIF4E;HIF1A;FOXO1;MYC;VEGFA;TGFB1
11625818,415.4,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,IFSDAJWBUCMOAH-HNNXBMFYSA-N,3.7,Idelalisib,PIK3CD
57339437,255.32,CC1=NC2=CN=C3C(=C2N1C4CCNCC4)C=CN3,XTQACRIFOIASKV-UHFFFAOYSA-N,1.3,JAK Inhibitor I,AKT1;BCL2;CCL11;DAPK3;DSC1;DSG1;F3;F7;FLG;IDO1;IFNG;IL1B;IL27;IL4;IL6;JAK1;JAK1;JAK2;JAK3;KRT1;KRT10;OSM;PDK1;STAT1;STAT3;TYK2
5330790,394.4,C1=CC(=C(C(=C1)F)C(=O)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,KDKUVYLMPJIGKA-UHFFFAOYSA-N,2.4,JNJ-7706621,ABL1;ACVR1;ALK;AURKA;AURKB;CAMKK2;CDK1;CDK2;CDK5;CDK7;CDK9;CLK2;CLK4;CSF1R;DAPK3;FGFR1;FLT1;GRK5;GSK3A;GSK3B;IRS1;JAK2;JAK3;KDR;KIT;LCK;LIMK1;LRRK2;MAP2K1;MAP2K2;MAP4K2; MAPK10;MAPK8;MARK3;MARK4;MELK;MET;MST1R;NTRK2;PAK4;PRKAA1;PRKD3;RET;ROCK1;ROCK2;ROS1;RPS6KA3;SIK2;STK3;TAOK1;TYK2;TYRO3;YES1
10364826,420.5,COC1CCC(CC1)C(=O)NC2=NC=CC(=C2)C3=CC(=NC=C3)NC4=CC=C(C=C4)F,ACGBFWCBVIXTPZ-UHFFFAOYSA-N,4,JNK Inhibitor II,MAPK8;MAPK9;MAPK10;ATF2;NFKB1;JUN;AP1;TP53
5353702,457,CN(CC=CC1=CC=C(C=C1)Cl)CC2=CC=CC=C2NS(=O)(=O)C3=CC=C(C=C3)OC,RUAOVVIUGUOYHA-AATRIKPKSA-N,5,KN92,GRIA1;BDNF;CREB;MLCK;RYR
3837,501,CN(CC=CC1=CC=C(C=C1)Cl)CC2=CC=CC=C2N(CCO)S(=O)(=O)C3=CC=C(C=C3)OC,LLLQTDSSHZREGW-UHFFFAOYSA-N,4.5,KN93,GRIA1;BDNF;CREB;MLCK;RYR
153999,468.5,CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O,ZCBUQCWBWNUWSU-SFHVURJKSA-N,2.7,LY-333531,BAD;PDF;PIM1;PIM2;PRKCA;PRKCB;PRKCD;PRKCG
3973,307.3,C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4,CZQHHVNHHHRRDU-UHFFFAOYSA-N,3.1,LY294002,PIK3CA;PIK3CB;PIK3CD;PIK3CG;AKT1;AKT2;AKT3;MTOR;PTEN;IRS1;IRS2;PDK1;SGK1
3398,376.8,C1COC2(N1CC(=O)N(C3=C2C=C(C=C3)Cl)CCO)C4=CC=CC=C4F,WMFSSTNVXWNLKI-UHFFFAOYSA-N,2.2,Linifanib (ABT-869),ALK;AURKB;AXL;BLK;BRSK1;CAMK1;CAMK2B;CAMK2D;CAMK2G;CDK19;CDK8;CLK4;CSF1R;CSNK1D;CSNK1G1;CSNK1G2;CSNK2A1;DYRK3;EPHA2;FER;FES;FGFR3;FLT1;FLT3;FLT4;FRK;HIPK2;HIPK4;INSR; IRAK1;IRAK4;KDR;KIT;LTK;LYN;MAP2K2;MAP3K20;MAP4K2;MAP4K5;MAPK13;MAPK14;MAPK9;MARK2;MELK;MET;MINK1;MKNK2;MST1R;NTRK2;NTRK3;PBK;PDGFRA;PDGFRB;PLK3;PLK4;PRKG1;PTK2;RET; ROCK1;ROCK2;RPS6KA4;RPS6KA5;RPS6KB1;SLK;SRC;SRMS;SRPK1;TAOK1;TEK;YES1
