Drug,Mean_Predicted_AUC,SD_Predicted_AUC
Alisertib (MLN8237),236.37781670807453,9.647623796313315
Motesanib (AMG-706),236.8732084516129,18.5721787589794
KN92,237.39170000000001,7.3797906325315505
JNJ-7706621,237.78796791139243,7.519007670353314
Azacytidine,238.31055171974523,10.437425373868217
MLN120B,238.80654376543208,8.098628142166847
Gefitinib,238.91031150326796,10.217131232340584
DBZ,238.93569961290322,8.422136701757738
H-89,239.19787260869566,6.344140115939302
GSK690693,239.39697724358973,9.423764302009179
KN93,239.78166,7.175945889651043
GSK-1904529A,240.0970510062893,8.322108405954802
Palbociclib,241.44879923076923,16.405412688991618
Lovastatin,241.75026565217394,3.8693804828678178
AGI-6780,242.31626233644857,10.702965677756564
KU-55933,242.7786188125,9.77412668759634
JNJ-38877605,243.99268625,7.6070119013813935
Olaparib,246.77182876712328,7.743807312264417
TG100-115,246.83913303797468,6.447192617303956
SB-431542,249.92888254658382,8.094704828861522
YM-155,251.22333811320752,5.779722654356567
AGI-5198,251.5220669090909,7.830416384214668
Lenalidomide,251.52426050955415,13.6038446619891
Vemurafenib (PLX-4032),252.3190239333333,7.251821117130535
Bay 11-7085,252.98637928104574,10.828729626856544
SR9011,253.1949066025641,12.359769705933044
Cediranib (AZD2171),255.19561396226413,10.041091248295551
MLN8054,255.4558025477707,6.697444871639283
SGX-523,256.9342798113208,6.494099571241613
Nutlin 3a,261.3425375,5.895363818125763
STO609,262.4668218965517,5.21248263941222
Roscovitine (CYC-202),263.0197088271605,7.7577451252636545
Artemisinin,267.2108322321429,5.18112838616317
PHT-427,272.62618185897435,3.617623343507289
CHIR-99021,273.39385710691823,3.7884521694647324
GDC-0879,277.08280726708074,2.789824497714423
Vismodegib (GDC-0449),277.9058893167702,2.621595996524155
