Column_Label,Type
ADGRA2,Gene_Expr
ZFP64,Gene_Expr
MNAT1,Gene_Expr
SAMD4A,Gene_Expr
RUNX3,Gene_Expr
MRE11,Gene_Expr
PLEKHB1,Gene_Expr
SERPINB1,Gene_Expr
CYP3A43,Gene_Expr
SLC7A9,Gene_Expr
SPAST,Gene_Expr
NRXN3,Gene_Expr
OSBPL5,Gene_Expr
AQR,Gene_Expr
CPS1,Gene_Expr
C8B,Gene_Expr
FHL1,Gene_Expr
RTF2,Gene_Expr
GABRA1,Gene_Expr
NLRP2,Gene_Expr
SLC45A4,Gene_Expr
RNF10,Gene_Expr
ZNF839,Gene_Expr
ZDHHC6,Gene_Expr
GRAMD1B,Gene_Expr
RNH1,Gene_Expr
NDUFS1,Gene_Expr
RB1CC1,Gene_Expr
ERP44,Gene_Expr
ALAS1,Gene_Expr
BIRC3,Gene_Expr
AKAP11,Gene_Expr
GLRX2,Gene_Expr
SNAPC1,Gene_Expr
DERA,Gene_Expr
STRAP,Gene_Expr
ABCC2,Gene_Expr
DEF6,Gene_Expr
PLEKHO1,Gene_Expr
GCLM,Gene_Expr
UBR2,Gene_Expr
EHD2,Gene_Expr
DEPDC1,Gene_Expr
CCDC28A,Gene_Expr
RRAGD,Gene_Expr
HSF2,Gene_Expr
PHF20,Gene_Expr
HSD17B6,Gene_Expr
NR1H3,Gene_Expr
TYMP,Gene_Expr
NCAPH2,Gene_Expr
TOMM34,Gene_Expr
SEC63,Gene_Expr
KPNA6,Gene_Expr
VIM,Gene_Expr
RTEL1-TNFRSF6B,Gene_Expr
FAS,Gene_Expr
RNASET2,Gene_Expr
CD44,Gene_Expr
KCNG1,Gene_Expr
AGPAT4,Gene_Expr
SLAMF7,Gene_Expr
BTN3A1,Gene_Expr
MIPEP,Gene_Expr
PRKCH,Gene_Expr
INSRR,Gene_Expr
IFNGR1,Gene_Expr
B4GALT7,Gene_Expr
SH2D2A,Gene_Expr
VRK2,Gene_Expr
TNFRSF1B,Gene_Expr
VEZT,Gene_Expr
POU2F2,Gene_Expr
BRD9,Gene_Expr
SNX1,Gene_Expr
TBPL1,Gene_Expr
BMAL2,Gene_Expr
BCLAF1,Gene_Expr
SLC39A9,Gene_Expr
ANK1,Gene_Expr
IBSP,Gene_Expr
TFB1M,Gene_Expr
RABEP1,Gene_Expr
HMGB3,Gene_Expr
NUP160,Gene_Expr
BAK1,Gene_Expr
MUSK,Gene_Expr
IKZF2,Gene_Expr
GRN,Gene_Expr
FAM13B,Gene_Expr
ARHGAP31,Gene_Expr
CENPQ,Gene_Expr
SARS1,Gene_Expr
RANBP3,Gene_Expr
ARID4A,Gene_Expr
EIPR1,Gene_Expr
PNPLA6,Gene_Expr
IFT88,Gene_Expr
ALG1,Gene_Expr
ZCCHC8,Gene_Expr
ABCF2,Gene_Expr
CHPF2,Gene_Expr
LRRC7,Gene_Expr
FUT8,Gene_Expr
UBA6,Gene_Expr
GAB2,Gene_Expr
ATP6V0A1,Gene_Expr
PIAS1,Gene_Expr
SLC4A7,Gene_Expr
APBA2,Gene_Expr
MAP2K3,Gene_Expr
CLXN,Gene_Expr
TMSB10,Gene_Expr
ASTE1,Gene_Expr
RNF19A,Gene_Expr
PEX3,Gene_Expr
GABARAPL2,Gene_Expr
MYOC,Gene_Expr
SH3YL1,Gene_Expr
FAM136A,Gene_Expr
VCL,Gene_Expr
DEPDC1B,Gene_Expr
DAPK2,Gene_Expr
NSMAF,Gene_Expr
ADSS2,Gene_Expr
STAP1,Gene_Expr
TIMP2,Gene_Expr
RFC1,Gene_Expr
TBC1D23,Gene_Expr
CUL3,Gene_Expr
MYOM2,Gene_Expr
OTC,Gene_Expr
CYP46A1,Gene_Expr
ZZZ3,Gene_Expr
SLC18A1,Gene_Expr
USP2,Gene_Expr
CASR,Gene_Expr
TUBG2,Gene_Expr
RPL26L1,Gene_Expr
FLT4,Gene_Expr
NSUN2,Gene_Expr
FBXO42,Gene_Expr
MFAP3,Gene_Expr
MRI1,Gene_Expr
METTL1,Gene_Expr
AGA,Gene_Expr
PI4K2B,Gene_Expr
BOD1L1,Gene_Expr
MAT2B,Gene_Expr
TLL1,Gene_Expr
EDC4,Gene_Expr
TRIO,Gene_Expr
VCAN,Gene_Expr
CLEC16A,Gene_Expr
MSR1,Gene_Expr
CDH1,Gene_Expr
MTREX,Gene_Expr
DNAH5,Gene_Expr
ZFYVE16,Gene_Expr
RIPOR1,Gene_Expr
C6,Gene_Expr
RAI14,Gene_Expr
SOX30,Gene_Expr
PNKP,Gene_Expr
PHLPP2,Gene_Expr
SPDL1,Gene_Expr
STAU2,Gene_Expr
SLC66A1,Gene_Expr
CTNS,Gene_Expr
RTN4R,Gene_Expr
PHF23,Gene_Expr
CDH10,Gene_Expr
INPP4A,Gene_Expr
RAB27B,Gene_Expr
PSMA4,Gene_Expr
MYO16,Gene_Expr
LSG1,Gene_Expr
PARP3,Gene_Expr
TNC,Gene_Expr
THAP3,Gene_Expr
RIPOR3,Gene_Expr
TDP1,Gene_Expr
AIFM2,Gene_Expr
SLC19A4P,Gene_Expr
SPATA7,Gene_Expr
MED17,Gene_Expr
RETSAT,Gene_Expr
CAPG,Gene_Expr
AP2S1,Gene_Expr
USH2A,Gene_Expr
ZPBP,Gene_Expr
TG,Gene_Expr
ADAM28,Gene_Expr
BARX2,Gene_Expr
DCUN1D1,Gene_Expr
JADE2,Gene_Expr
ZIC2,Gene_Expr
LCP2,Gene_Expr
TRIT1,Gene_Expr
ADRB1,Gene_Expr
CUL7,Gene_Expr
CTNNA1,Gene_Expr
PHKA2,Gene_Expr
CNTLN,Gene_Expr
EPHA3,Gene_Expr
HSPA5,Gene_Expr
DSG2,Gene_Expr
GEMIN8,Gene_Expr
OFD1,Gene_Expr
GPM6B,Gene_Expr
MAGEC2,Gene_Expr
PREX2,Gene_Expr
WDR37,Gene_Expr
YTHDC2,Gene_Expr
CTPS2,Gene_Expr
ATP6V1H,Gene_Expr
POLR2B,Gene_Expr
ATOSA,Gene_Expr
ARAP2,Gene_Expr
TPR,Gene_Expr
CP,Gene_Expr
KATNIP,Gene_Expr
DTNBP1,Gene_Expr
XK,Gene_Expr
ANO2,Gene_Expr
FERRY3,Gene_Expr
SCML1,Gene_Expr
WWC3,Gene_Expr
ARHGAP6,Gene_Expr
FAM184B,Gene_Expr
MAP4,Gene_Expr
GOPC,Gene_Expr
ROS1,Gene_Expr
USP28,Gene_Expr
HDAC9,Gene_Expr
TSPAN17,Gene_Expr
NOP16,Gene_Expr
CC2D2A,Gene_Expr
RRM2B,Gene_Expr
ZNF800,Gene_Expr
TNFRSF17,Gene_Expr
SNX29,Gene_Expr
LMO3,Gene_Expr
MRPS10,Gene_Expr
GUCA1A,Gene_Expr
RSF1,Gene_Expr
VPS13D,Gene_Expr
CELF2,Gene_Expr
FAM120A,Gene_Expr
R3HDM1,Gene_Expr
COL9A2,Gene_Expr
KITLG,Gene_Expr
ERCC8,Gene_Expr
ADAMTS6,Gene_Expr
H6PD,Gene_Expr
VAMP3,Gene_Expr
PER3,Gene_Expr
UTS2,Gene_Expr
TNFRSF9,Gene_Expr
EPN3,Gene_Expr
LTBP1,Gene_Expr
RCN1,Gene_Expr
ELN,Gene_Expr
RFC2,Gene_Expr
ARID1B,Gene_Expr
CLPTM1L,Gene_Expr
NEDD4L,Gene_Expr
FOXP3,Gene_Expr
PPP1R3F,Gene_Expr
HEXB,Gene_Expr
PTCD2,Gene_Expr
NEXMIF,Gene_Expr
JKAMP,Gene_Expr
DKK3,Gene_Expr
ARHGEF5,Gene_Expr
NFE2L3,Gene_Expr
MCUR1,Gene_Expr
LIMA1,Gene_Expr
LETMD1,Gene_Expr
SLC4A8,Gene_Expr
LAMC3,Gene_Expr
PTGER3,Gene_Expr
TNIP3,Gene_Expr
MAPK9,Gene_Expr
COL23A1,Gene_Expr
BCAR1,Gene_Expr
FHIP1B,Gene_Expr
HERPUD1,Gene_Expr
HOMER3,Gene_Expr
RAD51,Gene_Expr
POLQ,Gene_Expr
PIK3CB,Gene_Expr
CYBA,Gene_Expr
THOC3,Gene_Expr
HEBP2,Gene_Expr
MPHOSPH9,Gene_Expr
PLEKHA5,Gene_Expr
PRSS8,Gene_Expr
SIKE1,Gene_Expr
RRP12,Gene_Expr
FNIP2,Gene_Expr
MSMO1,Gene_Expr
TTC17,Gene_Expr
ALX4,Gene_Expr
FSTL4,Gene_Expr
FOXN3,Gene_Expr
METTL24,Gene_Expr
AKR7A2,Gene_Expr
MRTO4,Gene_Expr
NNAT,Gene_Expr
USE1,Gene_Expr
MCF2L2,Gene_Expr
NRIP2,Gene_Expr
LAMA3,Gene_Expr
AP5M1,Gene_Expr
ANAPC4,Gene_Expr
KCNQ1,Gene_Expr
TRAPPC3,Gene_Expr
THRAP3,Gene_Expr
PHPT1,Gene_Expr
LY75,Gene_Expr
ARID4B,Gene_Expr
OPN3,Gene_Expr
SDCCAG8,Gene_Expr
PTPRN,Gene_Expr
HHAT,Gene_Expr
KIF1B,Gene_Expr
FOXC1,Gene_Expr
TBC1D22A,Gene_Expr
SYNE2,Gene_Expr
PLEKHH1,Gene_Expr
ATP9A,Gene_Expr
SPO11,Gene_Expr
CBLN4,Gene_Expr
CHRDL2,Gene_Expr
FAM168A,Gene_Expr
RELT,Gene_Expr
GALC,Gene_Expr
NOP58,Gene_Expr
SZRD1,Gene_Expr
KCNH2,Gene_Expr
CUL1,Gene_Expr
FAM114A2,Gene_Expr
CYFIP2,Gene_Expr
TAB2,Gene_Expr
GINM1,Gene_Expr
EIF2AK2,Gene_Expr
USP36,Gene_Expr
KMT2C,Gene_Expr
MCOLN3,Gene_Expr
CCDC85A,Gene_Expr
PUM2,Gene_Expr
MRPL43,Gene_Expr
ITIH4,Gene_Expr
ITIH1,Gene_Expr
HPF1,Gene_Expr
ZFR,Gene_Expr
ZNF280C,Gene_Expr
NPFFR2,Gene_Expr
PHF21B,Gene_Expr
TRAF1,Gene_Expr
